Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
30-Apr-2010,1260.0,08-May-2009,551.0,25-Mar-2010,1315.4
03-May-2010,1257.0,08-May-2009,551.0,25-Mar-2010,1315.4
04-May-2010,1249.0,08-May-2009,551.0,25-Mar-2010,1315.4
05-May-2010,1213.0,08-May-2009,551.0,25-Mar-2010,1315.4
06-May-2010,1250.0,08-May-2009,551.0,25-Mar-2010,1315.4
07-May-2010,1225.0,08-May-2009,551.0,25-Mar-2010,1315.4
10-May-2010,1215.4,11-May-2009,558.9,25-Mar-2010,1315.4
11-May-2010,1225.0,11-May-2009,558.9,25-Mar-2010,1315.4
12-May-2010,1203.95,15-May-2009,573.55,25-Mar-2010,1315.4
13-May-2010,1265.0,15-May-2009,573.55,25-Mar-2010,1315.4
14-May-2010,1251.2,15-May-2009,573.55,25-Mar-2010,1315.4
17-May-2010,1285.0,19-May-2009,591.95,25-Mar-2010,1315.4
18-May-2010,1295.35,19-May-2009,591.95,25-Mar-2010,1315.4
19-May-2010,1288.8,19-May-2009,591.95,25-Mar-2010,1315.4
20-May-2010,1297.1,02-Jun-2009,616.05,25-Mar-2010,1315.4
21-May-2010,1310.0,02-Jun-2009,616.05,20-May-2010,1317.6
24-May-2010,1350.0,02-Jun-2009,616.05,20-May-2010,1317.6
25-May-2010,1282.0,02-Jun-2009,616.05,20-May-2010,1317.6
26-May-2010,1265.2,02-Jun-2009,616.05,20-May-2010,1317.6
27-May-2010,1287.9,02-Jun-2009,616.05,20-May-2010,1317.6
28-May-2010,1346.1,02-Jun-2009,616.05,27-May-2010,1331.6
31-May-2010,1365.0,02-Jun-2009,616.05,28-May-2010,1370.1
01-Jun-2010,1401.0,02-Jun-2009,616.05,31-May-2010,1403.85
02-Jun-2010,1403.0,02-Jun-2009,616.05,01-Jun-2010,1405.0
03-Jun-2010,1410.0,03-Jun-2009,621.95,02-Jun-2010,1405.05
04-Jun-2010,1395.0,04-Jun-2009,645.25,02-Jun-2010,1405.05
07-Jun-2010,1385.1,08-Jun-2009,685.7,04-Jun-2010,1405.6
08-Jun-2010,1398.0,08-Jun-2009,685.7,04-Jun-2010,1405.6
09-Jun-2010,1416.0,12-Jun-2009,705.1,04-Jun-2010,1405.6
10-Jun-2010,1480.0,12-Jun-2009,705.1,09-Jun-2010,1466.7
11-Jun-2010,1502.2,12-Jun-2009,705.1,10-Jun-2010,1497.3
14-Jun-2010,1439.0,15-Jun-2009,705.55,10-Jun-2010,1497.3
15-Jun-2010,1419.9,15-Jun-2009,705.55,10-Jun-2010,1497.3
16-Jun-2010,1432.0,16-Jun-2009,712.9,10-Jun-2010,1497.3
17-Jun-2010,1427.8,17-Jun-2009,715.25,10-Jun-2010,1497.3
18-Jun-2010,1423.45,18-Jun-2009,728.4,10-Jun-2010,1497.3
21-Jun-2010,1444.0,22-Jun-2009,734.85,10-Jun-2010,1497.3
22-Jun-2010,1422.0,22-Jun-2009,734.85,10-Jun-2010,1497.3
23-Jun-2010,1410.1,24-Jun-2009,743.65,10-Jun-2010,1497.3
24-Jun-2010,1438.0,24-Jun-2009,743.65,10-Jun-2010,1497.3
25-Jun-2010,1467.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
28-Jun-2010,1488.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
29-Jun-2010,1479.65,22-Jul-2009,751.05,10-Jun-2010,1497.3
30-Jun-2010,1461.25,22-Jul-2009,751.05,10-Jun-2010,1497.3
01-Jul-2010,1450.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
02-Jul-2010,1435.95,22-Jul-2009,751.05,10-Jun-2010,1497.3
05-Jul-2010,1435.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
06-Jul-2010,1465.1,22-Jul-2009,751.05,10-Jun-2010,1497.3
07-Jul-2010,1475.95,22-Jul-2009,751.05,10-Jun-2010,1497.3
08-Jul-2010,1462.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
09-Jul-2010,1466.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
12-Jul-2010,1474.4,22-Jul-2009,751.05,10-Jun-2010,1497.3
13-Jul-2010,1455.05,22-Jul-2009,751.05,10-Jun-2010,1497.3
14-Jul-2010,1467.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
15-Jul-2010,1450.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
16-Jul-2010,1481.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
